"cod_elettorale","cod_istat","cod_catastale","desc_comune","cod_comune","desc_provincia","cod_provincia","desc_regione","cod_regione","ele_f","ele_m","ele_t","vot_f","vot_m","vot_t","perc","perc_r","data","ora","comunicazione"
130230580,"069058","G141","Ortona","0580","Chieti","023","Abruzzo","13",11310,10687,21997,0,0,3409,15.5,17.94,"2025-05-25","12:00",1
130230580,"069058","G141","Ortona","0580","Chieti","023","Abruzzo","13",11310,10687,21997,0,0,8445,38.39,41.27,"2025-05-25","19:00",2
130230580,"069058","G141","Ortona","0580","Chieti","023","Abruzzo","13",11310,10687,21997,0,0,10640,48.37,58.29,"2025-05-25","23:00",3
130230580,"069058","G141","Ortona","0580","Chieti","023","Abruzzo","13",11310,10687,21997,6943,6445,13388,60.86,58.29,"2025-05-26","15:00",4
130380110,"066011","A884","Bisegna","0110","L'aquila","038","Abruzzo","13",167,185,352,0,0,66,18.75,13.37,"2025-05-25","12:00",1
130380110,"066011","A884","Bisegna","0110","L'aquila","038","Abruzzo","13",167,185,352,0,0,134,38.07,35.38,"2025-05-25","19:00",2
130380110,"066011","A884","Bisegna","0110","L'aquila","038","Abruzzo","13",167,185,352,0,0,150,42.61,37.33,"2025-05-25","23:00",3
130380110,"066011","A884","Bisegna","0110","L'aquila","038","Abruzzo","13",167,185,352,86,85,171,48.58,44.01,"2025-05-26","15:00",4
130380250,"066025","B842","Carsoli","0250","L'aquila","038","Abruzzo","13",2201,2154,4355,0,0,799,18.35,17.56,"2025-05-25","12:00",1
130380250,"066025","B842","Carsoli","0250","L'aquila","038","Abruzzo","13",2201,2154,4355,0,0,2068,47.49,42.3,"2025-05-25","19:00",2
130380250,"066025","B842","Carsoli","0250","L'aquila","038","Abruzzo","13",2201,2154,4355,0,0,2630,60.39,59.04,"2025-05-25","23:00",3
130380250,"066025","B842","Carsoli","0250","L'aquila","038","Abruzzo","13",2201,2154,4355,1604,1571,3175,72.9,75.46,"2025-05-26","15:00",4
130380970,"066098","I804","Sulmona","0970","L'aquila","038","Abruzzo","13",11300,10245,21545,0,0,2933,13.61,13.89,"2025-05-25","12:00",1
130380970,"066098","I804","Sulmona","0970","L'aquila","038","Abruzzo","13",11300,10245,21545,0,0,7691,35.7,39.26,"2025-05-25","19:00",2
130380970,"066098","I804","Sulmona","0970","L'aquila","038","Abruzzo","13",11300,10245,21545,0,0,9823,45.59,48.39,"2025-05-25","23:00",3
130380970,"066098","I804","Sulmona","0970","L'aquila","038","Abruzzo","13",11300,10245,21545,6634,6202,12836,59.58,63.35,"2025-05-26","15:00",4
130600050,"068005","B294","Bussi Sul Tirino","0050","Pescara","060","Abruzzo","13",1189,1156,2345,0,0,427,18.21,16.59,"2025-05-25","12:00",1
130600050,"068005","B294","Bussi Sul Tirino","0050","Pescara","060","Abruzzo","13",1189,1156,2345,0,0,1177,50.19,52.08,"2025-05-25","19:00",2
130600050,"068005","B294","Bussi Sul Tirino","0050","Pescara","060","Abruzzo","13",1189,1156,2345,0,0,1491,63.58,61.28,"2025-05-25","23:00",3
130600050,"068005","B294","Bussi Sul Tirino","0050","Pescara","060","Abruzzo","13",1189,1156,2345,867,859,1726,73.6,72.11,"2025-05-26","15:00",4
130790130,"067014","C322","Castilenti","0130","Teramo","079","Abruzzo","13",554,590,1144,0,0,195,17.05,15.95,"2025-05-25","12:00",1
130790130,"067014","C322","Castilenti","0130","Teramo","079","Abruzzo","13",554,590,1144,0,0,538,47.03,50.21,"2025-05-25","19:00",2
130790130,"067014","C322","Castilenti","0130","Teramo","079","Abruzzo","13",554,590,1144,0,0,699,61.1,62.17,"2025-05-25","23:00",3
130790130,"067014","C322","Castilenti","0130","Teramo","079","Abruzzo","13",554,590,1144,397,457,854,74.65,78.03,"2025-05-26","15:00",4
170470030,"077003","A801","Bernalda","0030","Matera","047","Basilicata","17",5361,5283,10644,0,0,1280,12.03,12.67,"2025-05-25","12:00",1
170470030,"077003","A801","Bernalda","0030","Matera","047","Basilicata","17",5361,5283,10644,0,0,3390,31.85,35.05,"2025-05-25","19:00",2
170470030,"077003","A801","Bernalda","0030","Matera","047","Basilicata","17",5361,5283,10644,0,0,5059,47.53,49.52,"2025-05-25","23:00",3
170470030,"077003","A801","Bernalda","0030","Matera","047","Basilicata","17",5361,5283,10644,3227,3173,6400,60.13,63.34,"2025-05-26","15:00",4
170470130,"077013","E326","Irsina","0130","Matera","047","Basilicata","17",1758,1679,3437,0,0,392,11.41,12.91,"2025-05-25","12:00",1
170470130,"077013","E326","Irsina","0130","Matera","047","Basilicata","17",1758,1679,3437,0,0,1185,34.48,35.14,"2025-05-25","19:00",2
170470130,"077013","E326","Irsina","0130","Matera","047","Basilicata","17",1758,1679,3437,0,0,1821,52.98,55.22,"2025-05-25","23:00",3
170470130,"077013","E326","Irsina","0130","Matera","047","Basilicata","17",1758,1679,3437,1139,1159,2298,66.86,67.4,"2025-05-26","15:00",4
170470140,"077014","F052","Matera","0140","Matera","047","Basilicata","17",26064,24436,50500,0,0,6947,13.76,15.54,"2025-05-25","12:00",1
170470140,"077014","F052","Matera","0140","Matera","047","Basilicata","17",26064,24436,50500,0,0,18311,36.26,37.74,"2025-05-25","19:00",2
170470140,"077014","F052","Matera","0140","Matera","047","Basilicata","17",26064,24436,50500,0,0,25335,50.17,53.41,"2025-05-25","23:00",3
170470140,"077014","F052","Matera","0140","Matera","047","Basilicata","17",26064,24436,50500,16737,16188,32925,65.2,70.83,"2025-05-26","15:00",4
170470160,"077016","F399","Montalbano Jonico","0160","Matera","047","Basilicata","17",2991,2892,5883,0,0,816,13.87,15.85,"2025-05-25","12:00",1
170470160,"077016","F399","Montalbano Jonico","0160","Matera","047","Basilicata","17",2991,2892,5883,0,0,2247,38.19,38.03,"2025-05-25","19:00",2
170470160,"077016","F399","Montalbano Jonico","0160","Matera","047","Basilicata","17",2991,2892,5883,0,0,3358,57.08,57.89,"2025-05-25","23:00",3
170470160,"077016","F399","Montalbano Jonico","0160","Matera","047","Basilicata","17",2991,2892,5883,2081,2002,4083,69.4,72.08,"2025-05-26","15:00",4
170640060,"076006","A482","Atella","0060","Potenza","064","Basilicata","17",1987,1983,3970,0,0,499,12.57,13.75,"2025-05-25","12:00",1
170640060,"076006","A482","Atella","0060","Potenza","064","Basilicata","17",1987,1983,3970,0,0,1492,37.58,37.21,"2025-05-25","19:00",2
170640060,"076006","A482","Atella","0060","Potenza","064","Basilicata","17",1987,1983,3970,0,0,2000,50.38,48.55,"2025-05-25","23:00",3
170640060,"076006","A482","Atella","0060","Potenza","064","Basilicata","17",1987,1983,3970,1238,1211,2449,61.69,59.63,"2025-05-26","15:00",4
170640420,"076043","E493","Lavello","0420","Potenza","064","Basilicata","17",5513,5527,11040,0,0,1193,10.81,12.87,"2025-05-25","12:00",1
170640420,"076043","E493","Lavello","0420","Potenza","064","Basilicata","17",5513,5527,11040,0,0,3394,30.74,37.85,"2025-05-25","19:00",2
170640420,"076043","E493","Lavello","0420","Potenza","064","Basilicata","17",5513,5527,11040,0,0,5248,47.54,51.91,"2025-05-25","23:00",3
170640420,"076043","E493","Lavello","0420","Potenza","064","Basilicata","17",5513,5527,11040,3384,3518,6902,62.52,66.2,"2025-05-26","15:00",4
170640840,"076085","I610","Senise","0840","Potenza","064","Basilicata","17",3913,3951,7864,0,0,989,12.58,12.73,"2025-05-25","12:00",1
170640840,"076085","I610","Senise","0840","Potenza","064","Basilicata","17",3913,3951,7864,0,0,2582,32.83,24.46,"2025-05-25","19:00",2
170640840,"076085","I610","Senise","0840","Potenza","064","Basilicata","17",3913,3951,7864,0,0,3395,43.17,42.62,"2025-05-25","23:00",3
170640840,"076085","I610","Senise","0840","Potenza","064","Basilicata","17",3913,3951,7864,2062,2095,4157,52.86,56.42,"2025-05-26","15:00",4
170640890,"076090","L197","Tolve","0890","Potenza","064","Basilicata","17",2061,2017,4078,0,0,428,10.5,11.28,"2025-05-25","12:00",1
170640890,"076090","L197","Tolve","0890","Potenza","064","Basilicata","17",2061,2017,4078,0,0,1174,28.79,28.96,"2025-05-25","19:00",2
170640890,"076090","L197","Tolve","0890","Potenza","064","Basilicata","17",2061,2017,4078,0,0,1716,42.08,46.04,"2025-05-25","23:00",3
170640890,"076090","L197","Tolve","0890","Potenza","064","Basilicata","17",2061,2017,4078,1052,1070,2122,52.04,56.95,"2025-05-26","15:00",4
180220340,"079036","D181","Cropani","0340","Catanzaro","022","Calabria","18",1958,1840,3798,0,0,754,19.85,23.43,"2025-05-25","12:00",1
180220340,"079036","D181","Cropani","0340","Catanzaro","022","Calabria","18",1958,1840,3798,0,0,1757,46.26,58.3,"2025-05-25","19:00",2
180220340,"079036","D181","Cropani","0340","Catanzaro","022","Calabria","18",1958,1840,3798,0,0,2141,56.37,73.9,"2025-05-25","23:00",3
180220340,"079036","D181","Cropani","0340","Catanzaro","022","Calabria","18",1958,1840,3798,1299,1245,2544,66.98,73.9,"2025-05-26","15:00",4
180220630,"079065","E274","Jacurso","0630","Catanzaro","022","Calabria","18",401,377,778,0,0,78,10.03,12.26,"2025-05-25","12:00",1
180220630,"079065","E274","Jacurso","0630","Catanzaro","022","Calabria","18",401,377,778,0,0,231,29.69,40.2,"2025-05-25","19:00",2
180220630,"079065","E274","Jacurso","0630","Catanzaro","022","Calabria","18",401,377,778,0,0,294,37.79,51.71,"2025-05-25","23:00",3
180220630,"079065","E274","Jacurso","0630","Catanzaro","022","Calabria","18",401,377,778,191,162,353,45.37,61.69,"2025-05-26","15:00",4
180220641,"079160","M208","Lamezia Terme","0641","Catanzaro","022","Calabria","18",31723,29533,61256,0,0,8318,13.58,14.57,"2025-05-25","12:00",1
180220641,"079160","M208","Lamezia Terme","0641","Catanzaro","022","Calabria","18",31723,29533,61256,0,0,21499,35.1,46.33,"2025-05-25","19:00",2
180220641,"079160","M208","Lamezia Terme","0641","Catanzaro","022","Calabria","18",31723,29533,61256,0,0,28331,46.25,54.99,"2025-05-25","23:00",3
180220641,"079160","M208","Lamezia Terme","0641","Catanzaro","022","Calabria","18",31723,29533,61256,18595,17787,36382,59.39,54.99,"2025-05-26","15:00",4
180220670,"079069","E834","Maida","0670","Catanzaro","022","Calabria","18",2484,2478,4962,0,0,900,18.14,15.04,"2025-05-25","12:00",1
180220670,"079069","E834","Maida","0670","Catanzaro","022","Calabria","18",2484,2478,4962,0,0,1985,40,41.09,"2025-05-25","19:00",2
180220670,"079069","E834","Maida","0670","Catanzaro","022","Calabria","18",2484,2478,4962,0,0,2428,48.93,55.18,"2025-05-25","23:00",3
180220670,"079069","E834","Maida","0670","Catanzaro","022","Calabria","18",2484,2478,4962,1487,1448,2935,59.15,55.18,"2025-05-26","15:00",4
180220920,"079095","G518","Petrona'","0920","Catanzaro","022","Calabria","18",1293,1222,2515,0,0,409,16.26,14.05,"2025-05-25","12:00",1
180220920,"079095","G518","Petrona'","0920","Catanzaro","022","Calabria","18",1293,1222,2515,0,0,1156,45.96,48.06,"2025-05-25","19:00",2
180220920,"079095","G518","Petrona'","0920","Catanzaro","022","Calabria","18",1293,1222,2515,0,0,1337,53.16,55.06,"2025-05-25","23:00",3
180220920,"079095","G518","Petrona'","0920","Catanzaro","022","Calabria","18",1293,1222,2515,782,769,1551,61.67,55.06,"2025-05-26","15:00",4
180250290,"078029","C002","Cassano All'ionio","0290","Cosenza","025","Calabria","18",8106,8020,16126,0,0,1921,11.91,14.45,"2025-05-25","12:00",1
180250290,"078029","C002","Cassano All'ionio","0290","Cosenza","025","Calabria","18",8106,8020,16126,0,0,5632,34.92,49.32,"2025-05-25","19:00",2
180250290,"078029","C002","Cassano All'ionio","0290","Cosenza","025","Calabria","18",8106,8020,16126,0,0,7628,47.3,59.12,"2025-05-25","23:00",3
180250290,"078029","C002","Cassano All'ionio","0290","Cosenza","025","Calabria","18",8106,8020,16126,4913,4849,9762,60.54,59.12,"2025-05-26","15:00",4
180250400,"078040","C588","Cetraro","0400","Cosenza","025","Calabria","18",5184,5041,10225,0,0,1092,10.68,12.09,"2025-05-25","12:00",1
180250400,"078040","C588","Cetraro","0400","Cosenza","025","Calabria","18",5184,5041,10225,0,0,3151,30.82,31.27,"2025-05-25","19:00",2
180250400,"078040","C588","Cetraro","0400","Cosenza","025","Calabria","18",5184,5041,10225,0,0,4133,40.42,43.65,"2025-05-25","23:00",3
180250400,"078040","C588","Cetraro","0400","Cosenza","025","Calabria","18",5184,5041,10225,2835,2585,5420,53.01,57.33,"2025-05-26","15:00",4
180250920,"078091","G317","Paola","0920","Cosenza","025","Calabria","18",7733,7452,15185,0,0,2342,15.42,18.4,"2025-05-25","12:00",1
180250920,"078091","G317","Paola","0920","Cosenza","025","Calabria","18",7733,7452,15185,0,0,6024,39.67,46.23,"2025-05-25","19:00",2
180250920,"078091","G317","Paola","0920","Cosenza","025","Calabria","18",7733,7452,15185,0,0,7461,49.13,63.51,"2025-05-25","23:00",3
180250920,"078091","G317","Paola","0920","Cosenza","025","Calabria","18",7733,7452,15185,4950,4546,9496,62.54,63.51,"2025-05-26","15:00",4
180251030,"078102","H235","Rende","1030","Cosenza","025","Calabria","18",16622,15653,32275,0,0,4995,15.48,20.88,"2025-05-25","12:00",1
180251030,"078102","H235","Rende","1030","Cosenza","025","Calabria","18",16622,15653,32275,0,0,13082,40.53,58.94,"2025-05-25","19:00",2
180251030,"078102","H235","Rende","1030","Cosenza","025","Calabria","18",16622,15653,32275,0,0,16850,52.21,70.96,"2025-05-25","23:00",3
180251030,"078102","H235","Rende","1030","Cosenza","025","Calabria","18",16622,15653,32275,10991,10523,21514,66.66,70.96,"2025-05-26","15:00",4
180251380,"078138","I489","Scalea","1380","Cosenza","025","Calabria","18",5362,5331,10693,0,0,1366,12.77,13.61,"2025-05-25","12:00",1
180251380,"078138","I489","Scalea","1380","Cosenza","025","Calabria","18",5362,5331,10693,0,0,3570,33.39,28.58,"2025-05-25","19:00",2
180251380,"078138","I489","Scalea","1380","Cosenza","025","Calabria","18",5362,5331,10693,0,0,4768,44.59,41.9,"2025-05-25","23:00",3
180251380,"078138","I489","Scalea","1380","Cosenza","025","Calabria","18",5362,5331,10693,3107,3131,6238,58.34,58.73,"2025-05-26","15:00",4
180970130,"101013","E339","Isola Di Capo Rizzuto","0130","Crotone","097","Calabria","18",6688,6432,13120,0,0,1757,13.39,14.89,"2025-05-25","12:00",1
180970130,"101013","E339","Isola Di Capo Rizzuto","0130","Crotone","097","Calabria","18",6688,6432,13120,0,0,5065,38.61,53,"2025-05-25","19:00",2
180970130,"101013","E339","Isola Di Capo Rizzuto","0130","Crotone","097","Calabria","18",6688,6432,13120,0,0,7143,54.44,66.21,"2025-05-25","23:00",3
180970130,"101013","E339","Isola Di Capo Rizzuto","0130","Crotone","097","Calabria","18",6688,6432,13120,4770,4543,9313,70.98,66.21,"2025-05-26","15:00",4
180970140,"101014","F108","Melissa","0140","Crotone","097","Calabria","18",1934,2027,3961,0,0,555,14.01,17.17,"2025-05-25","12:00",1
180970140,"101014","F108","Melissa","0140","Crotone","097","Calabria","18",1934,2027,3961,0,0,1396,35.24,45.84,"2025-05-25","19:00",2
180970140,"101014","F108","Melissa","0140","Crotone","097","Calabria","18",1934,2027,3961,0,0,1761,44.46,54.01,"2025-05-25","23:00",3
180970140,"101014","F108","Melissa","0140","Crotone","097","Calabria","18",1934,2027,3961,1040,1014,2054,51.86,54.01,"2025-05-26","15:00",4
180670450,"080045","E956","Marina Di Gioiosa Ionica","0450","Reggio Calabria","067","Calabria","18",3311,3029,6340,0,0,659,10.39,10.68,"2025-05-25","12:00",1
180670450,"080045","E956","Marina Di Gioiosa Ionica","0450","Reggio Calabria","067","Calabria","18",3311,3029,6340,0,0,2001,31.56,37.32,"2025-05-25","19:00",2
180670450,"080045","E956","Marina Di Gioiosa Ionica","0450","Reggio Calabria","067","Calabria","18",3311,3029,6340,0,0,2836,44.73,47.58,"2025-05-25","23:00",3
180670450,"080045","E956","Marina Di Gioiosa Ionica","0450","Reggio Calabria","067","Calabria","18",3311,3029,6340,1865,1753,3618,57.07,47.58,"2025-05-26","15:00",4
180670500,"080050","F112","Melito Di Porto Salvo","0500","Reggio Calabria","067","Calabria","18",4316,3883,8199,0,0,814,9.93,8.94,"2025-05-25","12:00",1
180670500,"080050","F112","Melito Di Porto Salvo","0500","Reggio Calabria","067","Calabria","18",4316,3883,8199,0,0,2538,30.95,29.99,"2025-05-25","19:00",2
180670500,"080050","F112","Melito Di Porto Salvo","0500","Reggio Calabria","067","Calabria","18",4316,3883,8199,0,0,3525,42.99,41.29,"2025-05-25","23:00",3
180670500,"080050","F112","Melito Di Porto Salvo","0500","Reggio Calabria","067","Calabria","18",4316,3883,8199,2306,2339,4645,56.65,57.97,"2025-05-26","15:00",4
180670730,"080073","H959","San Lorenzo","0730","Reggio Calabria","067","Calabria","18",905,840,1745,0,0,139,7.97,7.15,"2025-05-25","12:00",1
180670730,"080073","H959","San Lorenzo","0730","Reggio Calabria","067","Calabria","18",905,840,1745,0,0,492,28.19,23.04,"2025-05-25","19:00",2
180670730,"080073","H959","San Lorenzo","0730","Reggio Calabria","067","Calabria","18",905,840,1745,0,0,686,39.31,37.89,"2025-05-25","23:00",3
180670730,"080073","H959","San Lorenzo","0730","Reggio Calabria","067","Calabria","18",905,840,1745,448,456,904,51.81,37.89,"2025-05-26","15:00",4
180670850,"080085","I537","Scilla","0850","Reggio Calabria","067","Calabria","18",2690,2712,5402,0,0,663,12.27,9.81,"2025-05-25","12:00",1
180670850,"080085","I537","Scilla","0850","Reggio Calabria","067","Calabria","18",2690,2712,5402,0,0,1833,33.93,28.65,"2025-05-25","19:00",2
180670850,"080085","I537","Scilla","0850","Reggio Calabria","067","Calabria","18",2690,2712,5402,0,0,2356,43.61,41.51,"2025-05-25","23:00",3
180670850,"080085","I537","Scilla","0850","Reggio Calabria","067","Calabria","18",2690,2712,5402,1485,1453,2938,54.39,53.61,"2025-05-26","15:00",4
181030410,"102041","I884","Spadola","0410","Vibo Valentia","103","Calabria","18",455,461,916,0,0,142,15.5,16.52,"2025-05-25","12:00",1
181030410,"102041","I884","Spadola","0410","Vibo Valentia","103","Calabria","18",455,461,916,0,0,418,45.63,46.59,"2025-05-25","19:00",2
181030410,"102041","I884","Spadola","0410","Vibo Valentia","103","Calabria","18",455,461,916,0,0,543,59.28,64.87,"2025-05-25","23:00",3
181030410,"102041","I884","Spadola","0410","Vibo Valentia","103","Calabria","18",455,461,916,301,331,632,69,64.87,"2025-05-26","15:00",4
150080280,"064028","C659","Chiusano Di San Domenico","0280","Avellino","008","Campania","15",1367,1284,2651,0,0,425,16.03,17.62,"2025-05-25","12:00",1
150080280,"064028","C659","Chiusano Di San Domenico","0280","Avellino","008","Campania","15",1367,1284,2651,0,0,1123,42.36,29.42,"2025-05-25","19:00",2
150080280,"064028","C659","Chiusano Di San Domenico","0280","Avellino","008","Campania","15",1367,1284,2651,0,0,1390,52.43,49.51,"2025-05-25","23:00",3
150080280,"064028","C659","Chiusano Di San Domenico","0280","Avellino","008","Campania","15",1367,1284,2651,815,769,1584,59.75,56.91,"2025-05-26","15:00",4
150080790,"064080","H592","Rotondi","0790","Avellino","008","Campania","15",1674,1658,3332,0,0,567,17.02,19.5,"2025-05-25","12:00",1
150080790,"064080","H592","Rotondi","0790","Avellino","008","Campania","15",1674,1658,3332,0,0,1633,49.01,50.14,"2025-05-25","19:00",2
150080790,"064080","H592","Rotondi","0790","Avellino","008","Campania","15",1674,1658,3332,0,0,1978,59.36,61.82,"2025-05-25","23:00",3
150080790,"064080","H592","Rotondi","0790","Avellino","008","Campania","15",1674,1658,3332,1204,1199,2403,72.12,76.57,"2025-05-26","15:00",4
150080970,"064098","I606","Senerchia","0970","Avellino","008","Campania","15",526,630,1156,0,0,171,14.79,15.66,"2025-05-25","12:00",1
150080970,"064098","I606","Senerchia","0970","Avellino","008","Campania","15",526,630,1156,0,0,399,34.52,36.69,"2025-05-25","19:00",2
150080970,"064098","I606","Senerchia","0970","Avellino","008","Campania","15",526,630,1156,0,0,516,44.64,45.34,"2025-05-25","23:00",3
150080970,"064098","I606","Senerchia","0970","Avellino","008","Campania","15",526,630,1156,262,329,591,51.12,55.98,"2025-05-26","15:00",4
150110690,"062071","I277","Sant'angelo A Cupolo","0690","Benevento","011","Campania","15",1954,1971,3925,0,0,556,14.17,15.37,"2025-05-25","12:00",1
150110690,"062071","I277","Sant'angelo A Cupolo","0690","Benevento","011","Campania","15",1954,1971,3925,0,0,1747,44.51,44.48,"2025-05-25","19:00",2
150110690,"062071","I277","Sant'angelo A Cupolo","0690","Benevento","011","Campania","15",1954,1971,3925,0,0,2261,57.61,56.1,"2025-05-25","23:00",3
150110690,"062071","I277","Sant'angelo A Cupolo","0690","Benevento","011","Campania","15",1954,1971,3925,1404,1398,2802,71.39,72.75,"2025-05-26","15:00",4
150200460,"061046","E754","Lusciano","0460","Caserta","020","Campania","15",6694,6353,13047,0,0,1899,14.56,17.1,"2025-05-25","12:00",1
150200460,"061046","E754","Lusciano","0460","Caserta","020","Campania","15",6694,6353,13047,0,0,5228,40.07,46.13,"2025-05-25","19:00",2
150200460,"061046","E754","Lusciano","0460","Caserta","020","Campania","15",6694,6353,13047,0,0,7547,57.84,60.32,"2025-05-25","23:00",3
150200460,"061046","E754","Lusciano","0460","Caserta","020","Campania","15",6694,6353,13047,4833,4652,9485,72.7,75.1,"2025-05-26","15:00",4
150200600,"061060","G661","Pignataro Maggiore","0600","Caserta","020","Campania","15",2600,2391,4991,0,0,820,16.43,15.03,"2025-05-25","12:00",1
150200600,"061060","G661","Pignataro Maggiore","0600","Caserta","020","Campania","15",2600,2391,4991,0,0,2333,46.74,41.51,"2025-05-25","19:00",2
150200600,"061060","G661","Pignataro Maggiore","0600","Caserta","020","Campania","15",2600,2391,4991,0,0,3081,61.73,57.42,"2025-05-25","23:00",3
150200600,"061060","G661","Pignataro Maggiore","0600","Caserta","020","Campania","15",2600,2391,4991,2000,1841,3841,76.96,76.4,"2025-05-26","15:00",4
150510210,"063021","B946","Casavatore","0210","Napoli","051","Campania","15",8042,7425,15467,0,0,2076,13.42,14.64,"2025-05-25","12:00",1
150510210,"063021","B946","Casavatore","0210","Napoli","051","Campania","15",8042,7425,15467,0,0,5403,34.93,31.82,"2025-05-25","19:00",2
150510210,"063021","B946","Casavatore","0210","Napoli","051","Campania","15",8042,7425,15467,0,0,7729,49.97,46.56,"2025-05-25","23:00",3
150510210,"063021","B946","Casavatore","0210","Napoli","051","Campania","15",8042,7425,15467,5069,4772,9841,63.63,66.13,"2025-05-26","15:00",4
150510340,"063034","E054","Giugliano In Campania","0340","Napoli","051","Campania","15",50973,47882,98855,0,0,8768,8.87,13.95,"2025-05-25","12:00",1
